,Individual_Age,index,Age,Year,Sex,People,no_csum,norm,norm_pop,people_per_hundred,grouped_age,month
0,0,1,0,2000,3,19046094,19046094,0.06767836498689611,0.8241198963481579,7.0,0-20,1
1,1,1,0,2000,3,19046094,19046094,0.06767836498689611,0.8241198963481579,7.0,0-20,1
2,2,1,0,2000,3,19046094,19046094,0.06767836498689611,0.8241198963481579,7.0,0-20,1
3,3,1,0,2000,3,19046094,19046094,0.06767836498689611,0.8241198963481579,7.0,0-20,1
4,4,1,0,2000,3,19046094,19046094,0.06767836498689611,0.8241198963481579,7.0,0-20,1
5,5,3,5,2000,3,20621710,39667804,0.14095552176423456,0.8922964208683297,7.0,0-20,1
6,6,3,5,2000,3,20621710,39667804,0.14095552176423456,0.8922964208683297,7.0,0-20,1
7,7,3,5,2000,3,20621710,39667804,0.14095552176423456,0.8922964208683297,7.0,0-20,1
8,8,3,5,2000,3,20621710,39667804,0.14095552176423456,0.8922964208683297,7.0,0-20,1
9,9,3,5,2000,3,20621710,39667804,0.14095552176423456,0.8922964208683297,7.0,0-20,1
10,10,5,10,2000,3,20585757,60253561,0.21410492319938193,0.8907407432247454,7.0,0-20,1
11,11,5,10,2000,3,20585757,60253561,0.21410492319938193,0.8907407432247454,7.0,0-20,1
12,12,5,10,2000,3,20585757,60253561,0.21410492319938193,0.8907407432247454,7.0,0-20,1
13,13,5,10,2000,3,20585757,60253561,0.21410492319938193,0.8907407432247454,7.0,0-20,1
14,14,5,10,2000,3,20585757,60253561,0.21410492319938193,0.8907407432247454,7.0,0-20,1
15,15,7,15,2000,3,19930088,80183649,0.2849244712854598,0.8623701036427556,7.0,0-20,1
16,16,7,15,2000,3,19930088,80183649,0.2849244712854598,0.8623701036427556,7.0,0-20,1
17,17,7,15,2000,3,19930088,80183649,0.2849244712854598,0.8623701036427556,7.0,0-20,1
18,18,7,15,2000,3,19930088,80183649,0.2849244712854598,0.8623701036427556,7.0,0-20,1
19,19,7,15,2000,3,19930088,80183649,0.2849244712854598,0.8623701036427556,7.0,0-20,1
20,20,9,20,2000,3,19055559,99239208,0.35263646919071706,0.824529444616634,7.0,0-20,1
21,21,9,20,2000,3,19055559,99239208,0.35263646919071706,0.824529444616634,7.0,0-20,1
22,22,9,20,2000,3,19055559,99239208,0.35263646919071706,0.824529444616634,7.0,0-20,1
23,23,9,20,2000,3,19055559,99239208,0.35263646919071706,0.824529444616634,7.0,0-20,1
24,24,9,20,2000,3,19055559,99239208,0.35263646919071706,0.824529444616634,7.0,0-20,1
25,25,11,25,2000,3,19178000,118417208,0.4207835487818759,0.8298274371724181,7.0,25-40,1
26,26,11,25,2000,3,19178000,118417208,0.4207835487818759,0.8298274371724181,7.0,25-40,1
27,27,11,25,2000,3,19178000,118417208,0.4207835487818759,0.8298274371724181,7.0,25-40,1
28,28,11,25,2000,3,19178000,118417208,0.4207835487818759,0.8298274371724181,7.0,25-40,1
29,29,11,25,2000,3,19178000,118417208,0.4207835487818759,0.8298274371724181,7.0,25-40,1
